sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMD00064389	Kitasatospora setae	98.906	2066	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora setae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_003/SAMD00064389.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_003/SAMD00064389.contigs.fa.gz
SAMN02440509	Candidatus Thioglobus singularis	98.906	1427364	Proteobacteria	Gammaproteobacteria			Candidatus Thioglobus	Candidatus Thioglobus singularis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440509.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440509.contigs.fa.gz
SAMN05004741	Pluralibacter gergoviae	98.917	61647	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter	Pluralibacter gergoviae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_388/SAMN05004741.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_388/SAMN05004741.contigs.fa.gz
SAMN00713577	Pseudoxanthomonas suwonensis	98.924	314722	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas suwonensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713577.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713577.contigs.fa.gz
SAMN02232048	Rhodanobacter denitrificans	98.944	666685	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter denitrificans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02232048.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02232048.contigs.fa.gz
SAMN08125741	Polaribacter sp. ALD11	98.944	2058137	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp. ALD11	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_528/SAMN08125741.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_528/SAMN08125741.contigs.fa.gz
SAMD00047327	Candidatus Rhodoluna planktonica	99.004	535712	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rhodoluna	Candidatus Rhodoluna planktonica	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_002/SAMD00047327.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_002/SAMD00047327.contigs.fa.gz
SAMN05421671	Pimelobacter simplex	99.012	2045	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Pimelobacter	Pimelobacter simplex	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_404/SAMN05421671.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_404/SAMN05421671.contigs.fa.gz
SAMN07340702	[Clostridium] bolteae	99.027	208479	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_483/SAMN07340702.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_483/SAMN07340702.contigs.fa.gz
SAMN07809952	Erwinia tasmaniensis	99.046	338565	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia tasmaniensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_517/SAMN07809952.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_517/SAMN07809952.contigs.fa.gz
