sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN00002601	Meiothermus ruber	99.947	277	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus ruber
SAMEA1889257	Paenibacillus larvae	99.948	1464	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus larvae
SAMN01797746	Microcoleus sp. PCC 7113	99.948	1173027	Cyanobacteria		Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus sp. PCC 7113
SAMEA4004329	Moraxella catarrhalis	99.949	480	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
SAMN00713564	Thermovibrio ammonificans	99.949	228745	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	Thermovibrio ammonificans
SAMN00103626	Pseudopedobacter saltans	99.95	151895	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pseudopedobacter	Pseudopedobacter saltans
SAMN07620883	Brevirhabdus pacifica	99.95	1267768	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Brevirhabdus	Brevirhabdus pacifica
SAMN03769220	Clostridium botulinum	99.951	1491	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
SAMN00102793	Calditerrivibrio nitroreducens	99.951	477976	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Calditerrivibrio	Calditerrivibrio nitroreducens
SAMN01797753	Cyanobacterium aponinum	99.952	379064	Cyanobacteria		Chroococcales	Cyanobacteriaceae	Cyanobacterium	Cyanobacterium aponinum
SAMN08172666	Campylobacter fetus	99.955	196	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus
SAMEA4392574	Aeromonas salmonicida	99.955	645	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
SAMN07709945	Mesoplasma lactucae	99.955	138853	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	Mesoplasma lactucae
SAMN00713608	Sphaerochaeta coccoides	99.955	273376	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta	Sphaerochaeta coccoides
SAMN00713599	Fluviicola taffensis	99.956	191579	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola taffensis
SAMN02232065	Turneriella parva	99.957	29510	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Turneriella	Turneriella parva
SAMN02232052	Solitalea canadensis	99.958	995	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	Solitalea canadensis
SAMN07428568	Gemmata obscuriglobus	99.96	114	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	Gemmata obscuriglobus
SAMN02261337	Synechococcus sp. PCC 6312	99.96	195253	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312
